source,target,relationship
22222.bdec5230acd393777720ff7a97b8086027600b96,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22222.bdec5230acd393777720ff7a97b8086027600b96,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22222.bdec5230acd393777720ff7a97b8086027600b96,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,has ancestor
22226.693b52369d90531ccbf2c8d4b6dd4837df7e3c7e,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,is child of
22226.693b52369d90531ccbf2c8d4b6dd4837df7e3c7e,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22226.693b52369d90531ccbf2c8d4b6dd4837df7e3c7e,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22226.693b52369d90531ccbf2c8d4b6dd4837df7e3c7e,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,has ancestor
22236.9740f8912a6135bb7c5cc1352852a4dfab8157c3,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,is child of
22236.9740f8912a6135bb7c5cc1352852a4dfab8157c3,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22236.9740f8912a6135bb7c5cc1352852a4dfab8157c3,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22236.9740f8912a6135bb7c5cc1352852a4dfab8157c3,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,has ancestor
22237.455edfe655c9272f992919746e773dca197e8b19,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,is child of
22237.455edfe655c9272f992919746e773dca197e8b19,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22237.455edfe655c9272f992919746e773dca197e8b19,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22237.455edfe655c9272f992919746e773dca197e8b19,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,has ancestor
22238.3dbd403c6ee57ddc970b6b7b814a9932f96d8577,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,is child of
22238.3dbd403c6ee57ddc970b6b7b814a9932f96d8577,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22238.3dbd403c6ee57ddc970b6b7b814a9932f96d8577,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22238.3dbd403c6ee57ddc970b6b7b814a9932f96d8577,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,has ancestor
22242.bbc31378584e9eb0ef256a71f88ff63b81fc5f25,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,is child of
22242.bbc31378584e9eb0ef256a71f88ff63b81fc5f25,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22242.bbc31378584e9eb0ef256a71f88ff63b81fc5f25,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22242.bbc31378584e9eb0ef256a71f88ff63b81fc5f25,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,has ancestor
22243.55f0ca4ff4f63fb9fa351495743c510e02d29130,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,is child of
22243.55f0ca4ff4f63fb9fa351495743c510e02d29130,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22243.55f0ca4ff4f63fb9fa351495743c510e02d29130,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22243.55f0ca4ff4f63fb9fa351495743c510e02d29130,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,has ancestor
22246.66918193143991269e328beb18dcb77ac348168c,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,is child of
22246.66918193143991269e328beb18dcb77ac348168c,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22246.66918193143991269e328beb18dcb77ac348168c,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22246.66918193143991269e328beb18dcb77ac348168c,21409.2a63fb3b8fdd3cfcb142a20c7bc8e5c3e0bc9bf7,has ancestor
